clone_code_id,desired_base_code_id,original_order,reranked_order,original_hit_at_1,reranked_hit_at_1,original_hit_at_5,reranked_hit_at_5,judge_error
02we_1_2,02we,02we|gd41|4xjt|qqia|hkf5,02we|4xjt|hkf5|gd41|qqia,True,True,True,True,
m8bj_1_3,m8bj,m8bj|ie13|ehjn|90u3|3773,m8bj|ie13|90u3|3773|ehjn,True,True,True,True,
alrq_1_2,alrq,alrq|exko|kw6r|05nu|bqn4,alrq|kw6r|05nu|bqn4|exko,True,True,True,True,
pktw_1_1,pktw,pktw|604d|28td|pwir|akfb,pktw|pwir|akfb|604d|28td,True,True,True,True,
6mvc_1_1,6mvc,6mvc|bpet|7d4m|ipnj|rn0o,6mvc|bpet|ipnj|rn0o|7d4m,True,True,True,True,
82uo_1_2,82uo,82uo|vzvl|bmrm|0jwi|6gf3,82uo|vzvl|bmrm|0jwi|6gf3,True,True,True,True,
ltin_1_4,ltin,ltin|x09n|al59|dmj4|6m44,ltin|x09n|dmj4|6m44|al59,True,True,True,True,
3bp9_1_1,3bp9,3bp9|hghj|k95u|wn9d|5ygu,3bp9|k95u|wn9d|hghj|5ygu,True,True,True,True,
22vg_1_3,22vg,22vg|yfg4|igoc|35ua|eyen,22vg|yfg4|igoc|35ua|eyen,True,True,True,True,
qfkh_1_4,qfkh,qfkh|thed|ruee|eclp|o0a5,qfkh|eclp|o0a5|thed|ruee,True,True,True,True,
rfkk_1_4,rfkk,rfkk|hofm|ulvd|lgzz|fn2l,rfkk|ulvd|fn2l|lgzz|hofm,True,True,True,True,
bjwj_1_2,bjwj,a5t3|y0hc|g8x0|ep39|6m44,a5t3|g8x0|ep39|6m44|y0hc,False,False,False,False,
worp_1_4,worp,worp|6j8g|a55g|o189|2zyg,worp|o189|6j8g|2zyg|a55g,True,True,True,True,
4wyc_1_4,4wyc,4wyc|fs16|tm4q|rut1|zafz,4wyc|fs16|rut1|tm4q|zafz,True,True,True,True,
pbkw_1_4,pbkw,pbkw|05nu|al4f|yu0q|1jfv,pbkw|al4f|yu0q|05nu|1jfv,True,True,True,True,
6dg1_1_2,6dg1,6dg1|3ysz|fadi|13cy|mkrg,6dg1|fadi|mkrg|13cy|3ysz,True,True,True,True,
qfkh_1_1,qfkh,qfkh|ruee|thed|eclp|o0a5,qfkh|eclp|o0a5|ruee|thed,True,True,True,True,
efc6_1_2,efc6,efc6|hk2o|bqn4|re5j|yu0q,efc6|re5j|yu0q|bqn4|hk2o,True,True,True,True,
odwl_1_2,odwl,odwl|rvkk|lgfd|5pw5|ncju,odwl|lgfd|5pw5|rvkk|ncju,True,True,True,True,
gujk_1_1,gujk,gujk|ov0x|lvo3|f87r|qez4,gujk|lvo3|qez4|ov0x|f87r,True,True,True,True,
