clone_code_id,desired_base_code_id,original_order,reranked_order,original_hit_at_1,reranked_hit_at_1,original_hit_at_5,reranked_hit_at_5,judge_error
02we_1_2,02we,02we|gd41|4xjt|qqia|hkf5,02we|gd41|4xjt|qqia|hkf5,True,True,True,True,
m8bj_1_3,m8bj,m8bj|ie13|ehjn|90u3|3773,m8bj|ie13|ehjn|90u3|3773,True,True,True,True,
alrq_1_2,alrq,alrq|exko|kw6r|05nu|bqn4,alrq|exko|kw6r|05nu|bqn4,True,True,True,True,
gaci_2_3,gaci,gaci|604d|5g3q|q7vo|ncju,gaci|604d|5g3q|q7vo|ncju,True,True,True,True,
8m72_2_1,8m72,teu7|8m72|6gf3|xio9|lp0z,teu7|8m72|6gf3|xio9|lp0z,False,False,True,True,
xgav_2_2,xgav,xgav|hkf5|6m44|35ua|pnde,xgav|hkf5|6m44|35ua|pnde,True,True,True,True,
02we_3_2,02we,02we|gd41|ltin|bbm4|s5tp,02we|gd41|ltin|bbm4|s5tp,True,True,True,True,
m8bj_3_3,m8bj,m8bj|ie13|5g3q|ehjn|p9zs,m8bj|ie13|5g3q|ehjn|p9zs,True,True,True,True,
alrq_3_2,alrq,exko|alrq|bqn4|05nu|lt4v,exko|alrq|bqn4|05nu|lt4v,False,False,True,True,
604d_4_2,604d,e1hj|gk49|12q6|2rj6|mgq5|gr94|hpem|wsz6|h2gl|p9zs|604d|1a3u|ui00|pr5a|gjmf,e1hj|gk49|12q6|2rj6|mgq5|gr94|hpem|wsz6|h2gl|p9zs|604d|1a3u|ui00|pr5a|gjmf,False,False,True,True,
u1n4_4_1,u1n4,efc6|hk2o|12q6|qiaq|6gpo,efc6|hk2o|12q6|qiaq|6gpo,False,False,False,False,
qb9m_4_1,qb9m,qb9m|zmc0|v3ie|m8bj|l6z2,qb9m|zmc0|v3ie|m8bj|l6z2,True,True,True,True,
